use_year	permit_number	permit_holder_name	pod_index	use_type	reported_acft	reported_acres	reported_rate	kwhrs	kwh_demand	begin_meter	end_meter	meter_units	comments	crop_type1	crop_type2	reported_inches	use_january	use_february	use_march	use_april	use_may	use_june	use_july	use_august	use_september	use_october	use_november	use_december	total_use
2004	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						3381732.0	4305632.0	3828061.0	3959615.0	4720218.0	5394116.0	7658305.0	4237705.0	5364456.0	4870128.0	5374737.0	6635680.0	59730385.0
2005	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						5529394.0	3972383.0	3818216.0	4339321.0	5450954.0	4734222.0	4705542.0	4741418.0	4142418.0	3573280.0	2789090.0	2853300.0	50649538.0
2006	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						2885332.0	2696495.0	1757756.0	4235680.0	3228127.0	3946919.0	3799074.0	6004544.0	6275848.0	2247271.0	3604628.0	5055316.0	45736990.0
2007	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						2748530.0	2652520.0	2753470.0	3464320.0	3358930.0	3348520.0	3452830.0	3543720.0	2207980.0	3302860.0	2973290.0	3002010.0	36808980.0
2008	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						3564540.0	3564550.0	6656290.0	3507500.0	2896000.0	3865600.0	3892340.0	4573650.0	4269150.0	4019450.0	3651900.0	3542130.0	48003100.0
2009	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						3501701.66	3501701.66	3501701.66	3501701.66	3501701.66	3501701.66	3501701.66	3501701.66	3501701.66	3501701.66	3501701.7	3501701.7	42020420.0
2010	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						3521764.8	3521764.8	3521764.8	3521764.8	3521764.8	3521764.8	3521764.8	3521764.8	3521764.9	3521764.9	3521764.9	3521764.9	42261178.0
2012	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						3229870.0	2910007.0	3214039.0	3585170.0	4206772.0	4541523.0	4281681.0	4492871.0	4650874.0	4174974.0	3482180.0	3931272.0	46701233.0
2013	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						4290321.0	4333070.0	4365085.0	3091424.0	3379607.0	3530168.0	5586572.0	4878578.0	4039760.0	3247345.0	3257716.0	3575011.0	47574657.0
2014	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						3759604.0	3414126.0	4179190.0	4089058.0	4396423.0	4684911.0	5474550.0	5947052.0	4943285.0	3841415.0	3526741.0	3597669.0	51854024.0
