stage	SHIFT	flow_cfs	STOR
7.32	0.00	2639.88	
7.33	0.00	2651.06	
7.34	0.00	2662.26	
7.35	0.00	2673.48	
7.36	0.00	2684.73	
7.37	0.00	2696.01	
7.38	0.00	2707.31	
7.39	0.00	2718.64	
7.40	0.00	2730.00	*
7.41	0.00	2741.87	
7.42	0.00	2753.76	
7.43	0.00	2765.69	
7.44	0.00	2777.64	
7.45	0.00	2789.63	
7.46	0.00	2801.64	
7.47	0.00	2813.69	
7.48	0.00	2825.76	
7.49	0.00	2837.87	
7.50	0.00	2850.00	*
7.51	0.00	2864.78	
7.52	0.00	2879.60	
7.53	0.00	2894.48	
7.54	0.00	2909.40	
7.55	0.00	2924.38	
7.56	0.00	2939.40	
7.57	0.00	2954.48	
7.58	0.00	2969.60	
7.59	0.00	2984.77	
7.60	0.00	3000.00	*
7.61	0.00	3016.71	
7.62	0.00	3033.49	
7.63	0.00	3050.33	
7.64	0.00	3067.24	
7.65	0.00	3084.20	
7.66	0.00	3101.24	
7.67	0.00	3118.33	
7.68	0.00	3135.49	
7.69	0.00	3152.71	
7.70	0.00	3170.00	*
7.71	0.00	3190.56	
7.72	0.00	3211.22	
7.73	0.00	3231.97	
7.74	0.00	3252.82	
7.75	0.00	3273.77	
7.76	0.00	3294.82	
7.77	0.00	3315.97	
7.78	0.00	3337.21	
7.79	0.00	3358.56	
7.80	0.00	3380.00	*
7.81	0.00	3403.66	
7.82	0.00	3427.45	
7.83	0.00	3451.36	
7.84	0.00	3475.40	
7.85	0.00	3499.57	
7.86	0.00	3523.86	
7.87	0.00	3548.28	
7.88	0.00	3572.82	
7.89	0.00	3597.49	
7.90	0.00	3622.29	
7.91	0.00	3647.22	
7.92	0.00	3672.28	
7.93	0.00	3697.47	
7.94	0.00	3722.78	
7.95	0.00	3748.23	
7.96	0.00	3773.81	
7.97	0.00	3799.52	
7.98	0.00	3825.36	
7.99	0.00	3851.33	
8.00	0.00	3877.44	
8.01	0.00	3903.68	
8.02	0.00	3930.05	
8.03	0.00	3956.56	
8.04	0.00	3983.20	
8.05	0.00	4009.97	
8.06	0.00	4036.88	
8.07	0.00	4063.93	
8.08	0.00	4091.11	
8.09	0.00	4118.43	
8.10	0.00	4145.89	
8.11	0.00	4173.49	
8.12	0.00	4201.22	
8.13	0.00	4229.09	
8.14	0.00	4257.10	
8.15	0.00	4285.25	
8.16	0.00	4313.54	
8.17	0.00	4341.97	
8.18	0.00	4370.54	
8.19	0.00	4399.25	
8.20	0.00	4428.11	
8.21	0.00	4457.10	
8.22	0.00	4486.24	
8.23	0.00	4515.52	
8.24	0.00	4544.95	
8.25	0.00	4574.52	
8.26	0.00	4604.23	
8.27	0.00	4634.09	
8.28	0.00	4664.10	
8.29	0.00	4694.25	
8.30	0.00	4724.55	
8.31	0.00	4754.99	
8.32	0.00	4785.59	
8.33	0.00	4816.33	
8.34	0.00	4847.22	
8.35	0.00	4878.26	
8.36	0.00	4909.44	
8.37	0.00	4940.78	
8.38	0.00	4972.27	
8.39	0.00	5003.91	
8.40	0.00	5035.70	
8.41	0.00	5067.64	
8.42	0.00	5099.73	
8.43	0.00	5131.98	
8.44	0.00	5164.38	
8.45	0.00	5196.94	
8.46	0.00	5229.65	
8.47	0.00	5262.51	
8.48	0.00	5295.53	
8.49	0.00	5328.70	
8.50	0.00	5362.03	
8.51	0.00	5395.52	
8.52	0.00	5429.17	
8.53	0.00	5462.97	
8.54	0.00	5496.93	
8.55	0.00	5531.05	
8.56	0.00	5565.33	
8.57	0.00	5599.77	
8.58	0.00	5634.36	
8.59	0.00	5669.12	
8.60	0.00	5704.04	
8.61	0.00	5739.13	
8.62	0.00	5774.37	
8.63	0.00	5809.78	
