called out in Ryan's setup,site_index,loc_id,identify groups,group,group number,in sites?,First date,Last date,count,less_than_15,window_flag,drop_flag,drop_note,index_well_flag,x_2265,y_2265,assigned aquifer,total_depth,top_screen,bot_screen,lse_navd88,should_be_lay,in_current_model,total_depth_elev,top_screen_ele,bot_screen_ele,mid_pt,layer_midpt,manually_corrected_lay,top_lay1,bot_lay1,bot_lay2,bot_lay3,bot_lay4,bot_lay5,bot_lay6,bot_lay7,index_right,row,col,groups_diff_row_col_flag
,500,13304720ABDDA3,13304720ABDDA,43B,43,1,9/4/1985,5/1/1991,123,no,,,,FALSE,2949489.518,-222297.5651,Wahpeton Buried Valley,280,268,273,970.83,5,yes,690.83,702.83,697.83,700.33,5,5,967.2153,955.6964,921.1399,863.5457,852.0269,680.5018,518.4559,513.4559,9052,114,46,TRUE
,501,13304720ABDDA4,13304720ABDDA,43C,43,1,9/4/1985,5/1/1991,89,no,,TRUE,duplicate of wbv well data,FALSE,2949488.455,-222261.4538,Wahpeton Buried Valley,190,178,183,971.07,5,yes,781.07,793.07,788.07,790.57,5,5,967.2153,955.6964,921.1399,863.5457,852.0269,680.5018,518.4559,513.4559,9052,114,46,TRUE
,502,13304720ABDDA5,13304720ABDDA,43D,43,1,9/4/1985,5/1/1991,122,no,,TRUE,duplicate of wbv well data,FALSE,2949515.538,-222296.6171,Wahpeton Sand Plain,120,113,118,970.72,,yes,850.72,857.72,852.72,855.22,4,5,967.2153,955.6964,921.1399,863.5457,852.0269,680.5018,518.4559,513.4559,9052,114,46,TRUE
,503,13304720ABDDA6,13304720ABDDA,43E,43,1,9/4/1985,11/4/1986,54,no,,TRUE,duplicate and less time span,FALSE,2949513.465,-222260.5569,Wahpeton Shallow Sand,47,36,41,970.75,,yes,923.75,934.75,929.75,932.25,2,2,967.2153,955.6964,921.1399,863.5457,852.0269,680.5018,518.4559,513.4559,9052,114,46,TRUE
,504,13304720ABDDA7,13304720ABDDA,43F,43,1,9/9/1985,5/30/1991,117,no,,TRUE,duplicate of wbv well data,FALSE,2949361.458,-222267.4976,Wahpeton Buried Valley,280,269,274,970.97,5,yes,690.97,701.97,696.97,699.47,5,5,965.2623,953.8732,919.7058,862.7603,851.3711,684.1902,521.7669,516.7669,8973,113,46,TRUE
,505,13304720ABDDA8,13304720ABDDA,43G,43,1,9/10/1985,5/30/1991,114,no,,TRUE,duplicate of wbv well data,FALSE,2949361.458,-222267.4976,Wahpeton Sand Plain,120,112,117,970.91,,yes,850.91,858.91,853.91,856.41,4,5,965.2623,953.8732,919.7058,862.7603,851.3711,684.1902,521.7669,516.7669,8973,113,46,TRUE
,506,13304720ABDDA9,13304720ABDDA,43H,43,1,9/10/1985,5/30/1991,91,no,,TRUE,duplicate data in cell,FALSE,2949336.521,-222269.8519,Wahpeton Shallow Sand,60,50,55,970.96,,yes,910.96,920.96,915.96,918.46,3,3,965.2623,953.8732,919.7058,862.7603,851.3711,684.1902,521.7669,516.7669,8973,113,46,TRUE
,507,13304720ABDDB1,13304720ABDDB,51A,51,1,9/4/1985,5/30/1991,125,no,,TRUE,duplicate data in cell,FALSE,2949235.544,-222274.9471,Wahpeton Buried Valley,280,260,265,972.08,5,yes,692.08,712.08,707.08,709.58,5,5,965.2623,953.8732,919.7058,862.7603,851.3711,684.1902,521.7669,516.7669,8973,113,46,FALSE
,508,13304720ABDDB2,13304720ABDDB,51B,51,1,9/4/1985,5/30/1991,124,no,,TRUE,duplicate of wbv well data,FALSE,2949235.544,-222274.9471,Wahpeton Sand Plain,125,114,119,972.13,,yes,847.13,858.13,853.13,855.63,4,5,965.2623,953.8732,919.7058,862.7603,851.3711,684.1902,521.7669,516.7669,8973,113,46,FALSE
,509,13304720ABDDB3,13304720ABDDB,51C,51,1,9/4/1985,11/4/1986,65,no,,,,FALSE,2949235.544,-222274.9471,Wahpeton Shallow Sand,50,36,41,972.15,,yes,922.15,936.15,931.15,933.65,2,2,965.2623,953.8732,919.7058,862.7603,851.3711,684.1902,521.7669,516.7669,8973,113,46,FALSE
,510,13304720ABDDD,13304720ABDDD,54A,54,1,9/4/1985,11/13/1985,18,no,,TRUE,"data questionable, shallow well, disagreeing WLs",FALSE,2949441.626,-222336.5123,Undefined,10,7,9,971.29,,yes,961.29,964.29,962.29,963.29,1,1,967.2153,955.6964,921.1399,863.5457,852.0269,680.5018,518.4559,513.4559,9052,114,46,FALSE
,511,13304720ACC1,13304720ACC,55A,55,1,11/18/1969,7/20/1971,3,yes,,TRUE,less than 15 pts,FALSE,2948531.564,-223838.1447,Wahpeton Buried Valley,265,238,244,969.22,5,no,704.22,731.22,725.22,728.22,5,5,967.3498,955.6685,920.6246,862.2181,850.5368,699.2214,537.4044,532.4044,9129,115,44,TRUE
,512,13304720ACC2,13304720ACC,55B,55,1,6/17/1976,10/30/1985,23,no,,TRUE,"data questionable, shallow well, disagreeing WLs",FALSE,2948667.375,-223544.9007,Undefined,,0,25,969.83,,yes,na,969.83,944.83,957.33,1,1,967.3641,955.8976,921.4982,864.1658,852.6993,689.1985,526.9352,521.9352,9050,114,44,TRUE
,513,13304720ACC3,13304720ACC,55C,55,1,12/2/1975,5/30/1991,81,no,,TRUE,"data questionable, shallow well, disagreeing WLs",FALSE,2948667.375,-223544.9007,Undefined,40,23,26,969.79,,yes,929.79,946.79,943.79,945.29,2,2,967.3641,955.8976,921.4982,864.1658,852.6993,689.1985,526.9352,521.9352,9050,114,44,TRUE
,514,13304720ACD1,13304720ACD,58A,58,1,6/17/1976,9/17/1980,15,no,,,,FALSE,2949323.787,-223512.1559,Undefined,,0,30,969.82,,no,na,969.82,939.82,954.82,2,2,967.4937,955.623,920.0112,860.6581,848.7875,689.7279,528.28,523.28,9130,115,45,FALSE
,515,13304720ACD2,13304720ACD,58B,58,1,9/7/1975,6/30/1976,5,yes,,TRUE,less than 15 pts,FALSE,2949323.787,-223512.1559,Undefined,40,24,30,969.82,,no,929.82,945.82,939.82,942.82,2,2,967.4937,955.623,920.0112,860.6581,848.7875,689.7279,528.28,523.28,9130,115,45,FALSE
,516,13304720ADB,13304720ADB,60A,60,1,11/18/1969,7/20/1971,3,yes,,TRUE,less than 15 pts,FALSE,2949683.346,-223003.7741,Wahpeton Buried Valley,260,254,260,972.72,5,no,712.72,718.72,712.72,715.72,5,5,967.3785,955.4358,919.6077,859.8942,847.9515,678.4561,516.7046,511.7046,9131,115,46,FALSE
,517,13304720ADB2,13304720ADB,60B,60,1,10/24/1985,8/28/1996,120,no,,TRUE,wsp well has more data,FALSE,2949649.388,-222947.7704,Wahpeton Buried Valley,277,265,270,972.93,5,yes,695.93,707.93,702.93,705.43,5,5,967.3785,955.4358,919.6077,859.8942,847.9515,678.4561,516.7046,511.7046,9131,115,46,FALSE
,518,13304720ADB3,13304720ADB,60C,60,1,10/24/1985,11/15/2007,141,no,,,,FALSE,2949647.26,-222910.617,Wahpeton Sand Plain,125,115,120,973.15,,yes,848.15,858.15,853.15,855.65,4,5,967.3785,955.4358,919.6077,859.8942,847.9515,678.4561,516.7046,511.7046,9131,115,46,FALSE
,520,13304720ADD2,13304720ADD,63A,63,1,10/30/1985,4/20/1994,94,no,,TRUE,wsp well has more data,FALSE,2950771.502,-223621.7049,Wahpeton Buried Valley,275,268,273,969.39,5,yes,694.39,701.39,696.39,698.89,5,5,967.3938,955.1941,918.5951,857.5967,845.397,681.8743,519.8026,514.8026,9211,116,47,FALSE
yes - to wss,521,13304720ADD3,13304720ADD,63B,63,1,10/30/1985,11/15/2007,158,no,,,,FALSE,2950746.509,-223622.9679,Wahpeton Sand Plain,129,122,127,969.72,,yes,840.72,847.72,842.72,845.22,5,5,967.3938,955.1941,918.5951,857.5967,845.397,681.8743,519.8026,514.8026,9211,116,47,FALSE
,522,13304720BAACD,13304720BAACD,65A,65,1,3/30/1989,5/12/1998,63,no,,TRUE,duplicate data in cell,FALSE,2947922.34,-221829.0111,Wahpeton Shallow Sand,,61,67,975.66,,yes,na,914.66,908.66,911.66,3,3,964.2357,953.1404,919.8549,864.3789,853.2837,682.3303,518.0193,513.0193,8893,112,45,FALSE
,523,13304720BAA1,13304720BAA,66A,66,1,9/7/1975,12/1/1981,32,no,,,,FALSE,2947926.073,-221390.828,Wahpeton Shallow Sand,40,23,26,966.69,,yes,926.69,943.69,940.69,942.19,2,2,963.2867,952.1303,918.6613,862.8794,851.723,683.9502,518.9203,513.9203,8814,111,45,TRUE
,524,13304720BAA2,13304720BAA,66B,66,1,9/7/1975,5/18/2010,256,no,,,,FALSE,2948099.929,-221345.5364,Wahpeton Sand Plain,140,128,134,966.09,,yes,826.09,838.09,832.09,835.09,5,5,966.1504,954.994,921.525,865.7431,854.5867,686.8138,521.784,516.784,8815,111,46,TRUE
,525,13304720BAA3,13304720BAA,66C,66,1,10/9/1985,8/23/2011,155,no,,,,FALSE,2947956.067,-221498.9066,Wahpeton Shallow Sand,45,33,36,965.78,,yes,920.78,932.78,929.78,931.28,2,2,963.2867,952.1303,918.6613,862.8794,851.723,683.9502,518.9203,513.9203,8814,111,45,TRUE
,526,13304720BAA4,13304720BAA,66D,66,1,10/23/1985,5/18/2010,155,no,,TRUE,wsp well has more data,FALSE,2948124.074,-221307.4241,Wahpeton Buried Valley,267,258,263,966.08,5,yes,699.08,708.08,703.08,705.58,5,5,966.1504,954.994,921.525,865.7431,854.5867,686.8138,521.784,516.784,8815,111,46,TRUE
,527,13304720BABAB1,13304720BABAB,70A,70,1,8/31/1987,5/30/1991,43,no,,,,FALSE,2947243.768,-221425.5636,Wahpeton Sand Plain,120,112,117,966.9,,yes,846.9,854.9,849.9,852.4,5,5,963.6008,952.524,919.2934,863.9091,852.8323,681.8792,515.4893,510.4893,8735,110,45,FALSE
,528,13304720BABB,13304720BABB,71A,71,1,8/31/1987,11/16/2010,125,no,,TRUE,duplicate well in cell,FALSE,2946966.561,-221438.7901,Wahpeton Shallow Sand,66,53,63,963.57,,yes,897.57,910.57,900.57,905.57,3,3,961.2493,950.2759,917.3558,862.4888,851.5154,675.457,507.751,502.751,8734,110,44,FALSE
,529,13304720BADAB1,13304720BADAB,72A,72,1,3/30/1989,5/30/1991,27,no,,TRUE,duplicate data in cell,FALSE,2948009.594,-222043.7945,Wahpeton Shallow Sand,,57,62,983.3,,yes,na,926.3,921.3,923.8,2,2,964.2357,953.1404,919.8549,864.3789,853.2837,682.3303,518.0193,513.0193,8893,112,45,FALSE
,530,13304720BADBD1,13304720BADBD,73A,73,1,3/30/1989,5/30/1991,25,no,,TRUE,duplicate data in cell,FALSE,2947936.795,-222120.8884,Wahpeton Shallow Sand,,52,57,983.29,,yes,na,931.29,926.29,928.79,2,2,964.2357,953.1404,919.8549,864.3789,853.2837,682.3303,518.0193,513.0193,8893,112,45,FALSE
,532,13304720BADCA1,13304720BADCA,74A,74,1,3/30/1989,5/30/1991,26,no,,,,FALSE,2947948.046,-222339.1364,Wahpeton Shallow Sand,,66,76,983.23,,yes,na,917.23,907.23,912.23,3,3,964.2357,953.1404,919.8549,864.3789,853.2837,682.3303,518.0193,513.0193,8893,112,45,FALSE
,534,13304720BADCD1,13304720BADCD,75A,75,1,3/30/1989,5/30/1991,25,no,,,,FALSE,2947955.157,-222485.2636,Wahpeton Shallow Sand,,53,58,983.5,,yes,na,930.5,925.5,928,2,2,964.2018,953.0311,919.5193,863.6661,852.4955,683.8051,519.993,514.993,8892,112,44,FALSE
