xy_id,group_block,Grouped,Aquifer_Units,start_x,start_y,start_z,end_z,Top_Screen_Elev,Bottom_Screen_Elev,bh_id,model_unit,model_unit_4_lay
2948101.707_-221348.234,4,Aquifer,,2948101.707,-221348.2337,953.4942397,948.4942397,,,bh_314,drop,drop
2948101.707_-221348.234,5,Clay,,2948101.707,-221348.2337,948.4942397,892.4942397,,,bh_314,drop,drop
2948101.707_-221348.234,6,Aquifer,,2948101.707,-221348.2337,892.4942397,826.4942397,,,bh_314,drop,drop
2948124.074_-221307.424,1,,Wahpeton Buried Valley,2948124.074,-221307.4241,,,707.25,702.25,bh_315,outside_grid,outside_grid
2948125.852_-221310.122,1,Clay,,2948125.852,-221310.1215,966.5404179,947.5404179,,,bh_316,drop,drop
2948125.852_-221310.122,2,Aquifer,,2948125.852,-221310.1215,947.5404179,930.5404179,,,bh_316,drop,drop
2948125.852_-221310.122,3,Clay,,2948125.852,-221310.1215,930.5404179,857.5404179,,,bh_316,drop,drop
2948125.852_-221310.122,4,Aquifer,Wahpeton,2948125.852,-221310.1215,857.5404179,701.5404179,,,bh_316,drop,drop
2948125.852_-221310.122,5,Clay,,2948125.852,-221310.1215,701.5404179,699.5404179,,,bh_316,drop,drop
2948226.357_-151753.852,1,Clay,,2948226.357,-151753.8523,958.2294648,928.2294648,,,bh_317,outside_grid,outside_grid
2948226.357_-151753.852,2,Aquifer,,2948226.357,-151753.8523,928.2294648,905.2294648,,,bh_317,outside_grid,outside_grid
2948226.357_-151753.852,3,Clay,,2948226.357,-151753.8523,905.2294648,893.2294648,,,bh_317,outside_grid,outside_grid
2948226.357_-151753.852,4,Aquifer,,2948226.357,-151753.8523,893.2294648,880.2294648,,,bh_317,outside_grid,outside_grid
2948226.357_-151753.852,5,Clay,,2948226.357,-151753.8523,880.2294648,749.2294648,,,bh_317,outside_grid,outside_grid
2948226.357_-151753.852,6,Aquifer,,2948226.357,-151753.8523,749.2294648,745.2294648,,,bh_317,outside_grid,outside_grid
2948226.357_-151753.852,7,Clay,,2948226.357,-151753.8523,745.2294648,743.2294648,,,bh_317,outside_grid,outside_grid
2948226.357_-151753.852,8,Aquifer,,2948226.357,-151753.8523,743.2294648,742.2294648,,,bh_317,outside_grid,outside_grid
2948226.357_-151753.852,9,Clay,,2948226.357,-151753.8523,742.2294648,731.2294648,,,bh_317,outside_grid,outside_grid
2948226.357_-151753.852,10,Aquifer,,2948226.357,-151753.8523,731.2294648,720.2294648,,,bh_317,outside_grid,outside_grid
2948226.357_-151753.852,11,Clay,,2948226.357,-151753.8523,720.2294648,690.2294648,,,bh_317,outside_grid,outside_grid
2948226.357_-151753.852,12,Aquifer,,2948226.357,-151753.8523,690.2294648,685.2294648,,,bh_317,outside_grid,outside_grid
2948226.357_-151753.852,13,Clay,,2948226.357,-151753.8523,685.2294648,683.2294648,,,bh_317,outside_grid,outside_grid
2948226.357_-151753.852,14,Aquifer,,2948226.357,-151753.8523,683.2294648,673.2294648,,,bh_317,outside_grid,outside_grid
2948226.357_-151753.852,15,Clay,,2948226.357,-151753.8523,673.2294648,659.2294648,,,bh_317,outside_grid,outside_grid
2948226.357_-151753.852,16,Aquifer,,2948226.357,-151753.8523,659.2294648,657.2294648,,,bh_317,outside_grid,outside_grid
