site_index,date_meas,gwe_navd88,dtw_ft,mp_elev_navd88,loc_id,aquifer,purpose,elev_type,total_depth,top_screen_depth,bottom_screen_depth,x_2265,y_2265,lse_navd88
544,27914,953.93,10.27,964.2,13304720BBA5,Wahpeton Shallow Sand,Observation Well - Plugged,Survey 0.01 ft,60,38,41,2946760.425,-221375.7412,961.4
545,31344,918.02,46.77,964.79,13304720BBA6,Wahpeton Buried Valley,Observation Well,Survey 0.01 ft,280,268,273,2946697.803,-221634.9676,962.64
546,31344,917.12,47.34,964.46,13304720BBA7,Wahpeton Sand Plain,Observation Well,Survey 0.01 ft,120,110,115,2946697.803,-221634.9676,962.73
547,31344,938.03,26.83,964.86,13304720BBA8,Wahpeton Shallow Sand,Observation Well,Survey 0.01 ft,65,58,63,2946699.871,-221671.0282,962.8
548,32020,909.74,52.54,962.28,13304720BBBAB1,Wahpeton Buried Valley,Observation Well - Plugged,Survey 0.01 ft,320,298,303,2946003.167,-221414.5709,959.92
549,32020,909.8,51.93,961.73,13304720BBBAB2,Wahpeton Buried Valley,Observation Well - Plugged,Survey 0.01 ft,200,193,198,2945978.176,-221415.8278,959.78
550,32020,909.77,52.4,962.17,13304720BBBAB3,Wahpeton Sand Plain,Observation Well - Plugged,Survey 0.01 ft,126,118,123,2945953.167,-221416.7202,959.76
551,32020,909.855,52.215,962.07,13304720BBBAB4,Wahpeton Sand Plain,Observation Well,Survey 0.01 ft,86,78,83,2945928.158,-221417.6126,959.7
552,32020,930.6533333,31.07666667,961.73,13304720BBBAB5,Wahpeton Shallow Sand,Observation Well,Survey 0.01 ft,55,43,53,2945902.194,-221419.6488,959.78
553,31329,938.23,27.57,965.8,13304720BBD1,Wahpeton Shallow Sand,Observation Well - Plugged,Survey 0.01 ft,60,42,45,2946777.363,-222215.077,964.98
554,27914,957.28,10.25,967.53,13304720BBD2,Wahpeton Shallow Sand,Observation Well - Destroyed,Survey 0.01 ft,0,0,0,2946731.336,-222291.1839,967.28
555,31329,938.25,28.11,966.36,13304720BCA,Wahpeton Shallow Sand,Industrial Well - Plugged,Survey 0.01 ft,60,42,45,2946801.746,-222689.4696,965.41
556,27644,957.68,8.86,966.54,13304720BCD1,Wahpeton Shallow Sand,Observation Well - Destroyed,Survey 0.01 ft,60,38,44,2946784.5,-223347.5116,964.82
557,32020,908.61,58.45,967.06,13304720BCD3,Wahpeton Sand Plain,Observation Well,Survey 0.01 ft,140,130,135,2946838.641,-223417.4814,964.89
558,32020,933.65,33.43,967.08,13304720BCD4,Wahpeton Shallow Sand,Observation Well,Survey 0.01 ft,48,36,46,2946836.591,-223381.7852,964.91
561,27928,957.67,11.39,969.06,13304720BDD,Wahpeton Shallow Sand,Observation Well - Plugged,Survey 0.01 ft,0,0,30,2947827.993,-223477.6173,967.06
563,25525,960.38,8.96,969.34,13304720DDD1,Wahpeton Buried Valley,Observation Well - Plugged,Survey 0.01 ft,290,248,254,2951041.376,-226322.2764,967.7
564,27289,952.53,18.18,970.71,13304720DDD2,Wahpeton Shallow Sand,Observation Well - Plugged,Survey 0.01 ft,80,48,51,2950770.97,-226105.7988,968.31
566,27289,951.79,12.13,963.92,13304729BAB2,Wahpeton Shallow Sand,Observation Well - Plugged,Survey 0.1 ft,80,65,68,2947496.329,-226928.5184,962.62
567,26093,948.14,0.99,949.13,13304802ADA,Wahpeton Sand Plain,Observation Well - Destroyed,Survey 0.1 ft,280,88,91,2934113.747,-207762.7487,946.83
569,27289,943.99,3.9,947.89,13304803ABB2,Wahpeton Sand Plain,Observation Well - Plugged,Survey 0.01 ft,140,116,119,2926807.665,-206772.3411,945.91
570,26093,954.78,0.31,955.09,13304812BAA,Wahpeton Sand Plain,Observation Well,Global Position Survey,235,115,135,2937435.575,-211184.7998,950.1
573,27289,945.32,16.21,961.53,13304824AAD1,Wahpeton Sand Plain,Observation Well - Plugged,Survey 0.1 ft,140,132,135,2940015.785,-222627.9987,958.53
574,27289,947.64,12.39,960.03,13304824AAD2,Wahpeton Shallow Sand,Observation Well - Plugged,Survey 0.1 ft,60,48,51,2940015.785,-222627.9987,957.83
583,29361,933.54,10.89,944.43,13404820ADD2,Wahpeton Sand Plain,Observation Well - Recorder,Global Position Survey,262,130,135,2917622.785,-193270.9415,942.51
584,26134,939.38,2.55,941.93,13404821BBB,Wahpeton Buried Valley,Observation Well - Destroyed,Survey 0.1 ft,395,238,244,2918207.046,-191269.5708,939.93
586,25972,941.02,5.45,946.47,13404832DAA,Wahpeton Sand Plain,Observation Well - Plugged,Survey 0.01 ft,120,58,78,2918121.939,-204495.9787,943.97
596,26134,927.78,9.94,937.72,13504831DCD,Wahpeton Sand Plain,Observation Well - Plugged,Survey 0.1 ft,180,138,141,2910164.144,-174969.0316,937.53
932,26093,955.39,2.69,958.08,13304707ADD,Dakota Group,Observation Well - Plugged,Survey 0.1 ft,348,318,324,2944965.768,-213357.1409,956.13
