Permits,Pods,Well,use_type,x_2265,y_2265,x_2266,y_2266,total_dept,top_screen,bottom_scr,use_acft,days,cfd,well_flag,status
[4937],[15005307C],DUMMY_15005307C,Irrigation,2707898.1030974644,313660.5615763751,2708007.418277351,799623.447866806,,,,27.200000000000003,365.0,3246.1150684931513,dummy well,Deferred
[4937],[15005307DW],DUMMY_15005307DW,Irrigation,2709886.727843698,313737.0782666158,2709996.375928858,799698.431517977,,,,27.200000000000003,365.0,3246.1150684931513,dummy well,Deferred
[5080],[15005401C],DUMMY_15005401C,Irrigation,2702404.2308508456,318751.5264151155,2702516.7072968264,804719.37044509,,,,25.540000000000003,365.0,3048.006575342466,dummy well,Deferred
[4937A],[15005401D],DUMMY_15005401D,Irrigation,2705041.7941898005,318849.23970891326,2705154.723402093,804815.0641746524,,,,27.200000000000003,365.0,3246.1150684931513,dummy well,Deferred
[4911],[15005403B],DUMMY_15005403B,Irrigation,2691706.547109586,320979.9036393806,2691819.180449541,806956.2432478785,,,,27.0,365.0,3222.246575342466,dummy well,Deferred
[4904],[15005404B],DUMMY_15005404B,Irrigation,2686415.653956541,320774.53516250005,2686527.3602749286,806754.843242215,,,,28.0,365.0,3341.5890410958905,dummy well,Deferred
[5637],[15005404C],DUMMY_15005404C,Irrigation,2686521.4860451045,318133.33714267256,2686631.2189781806,804113.1839059021,,,,30.0,365.0,3580.27397260274,dummy well,Deferred
[4904],[15005405A],DUMMY_15005405A,Irrigation,2683776.978821656,320693.42912769015,2683888.239232244,806675.708495814,,,,28.0,365.0,3341.5890410958905,dummy well,Deferred
[6131],[15005413B],DUMMY_15005413B,Irrigation,2702749.988068301,310832.44624329614,2702856.417812411,796798.9238360085,,,,25.12,365.0,2997.8827397260275,dummy well,Deferred
[4906],[15005414B],DUMMY_15005414B,Irrigation,2697463.5881735906,310632.9632251974,2697569.152343031,796603.467923432,,,,39.6,365.0,4725.961643835616,dummy well,Deferred
[4906],[15005415A],DUMMY_15005415A,Irrigation,2694814.237882944,310534.9969199633,2694919.3701841757,796507.509101957,,,,39.6,365.0,4725.961643835616,dummy well,Deferred
[4881],[15105414C],DUMMY_15105414C,Irrigation,2696317.7498367,339691.1383418932,2696445.3454006165,825666.8787033844,,,,32.0,365.0,3818.958904109589,dummy well,Deferred
[4881],[15105415A],DUMMY_15105415A,Irrigation,2693575.8541281163,342221.3834030467,2693704.9225061666,828199.6367947265,,,,92.0,365.0,10979.506849315068,dummy well,Deferred
[4881],[15105415B],DUMMY_15105415B,Irrigation,2690935.4269111995,342129.62124973506,2691063.981766836,828109.8657823096,,,,92.0,365.0,10979.506849315068,dummy well,Deferred
