Site_Index,Location,group_number,group,index_well_flag,Aquifer,drop_flag,drop_note,Purpose,Count,First Date,Last Date,Top Screen,Bot Screen,lat,lon,x_2265,y_2265,x_2266,y_2266,wl_avg_1965,wl_avg_2023
14966,15405528CCCA,101,101A,FALSE,Elk Valley,TRUE,<15,Irrigation Well,1,6/5/2007,6/5/2007,34,54,48.124334,-97.727547,2645472.108,422309.1537,2645650.1,908339.7989,,
12167,15405529BBB,102,102A,FALSE,Elk Valley,FALSE,,Observation Well,253,5/29/1990,11/26/2024,35,40,48.135939,-97.750922,2639615.803,426335.102,2639795.155,912370.943,,1140.27625
12153,15405529CCC,103,103A,FALSE,Elk Valley,FALSE,,Observation Well - PRESENS,12732,5/29/1990,1/14/2025,35,40,48.12334,-97.750998,2639761.309,421741.4736,2639937.447,907776.0345,,1137.576171
12154,15405529CCC2,103,103B,FALSE,Elk Valley,FALSE,,Observation Well,254,6/13/1990,11/26/2024,4,14,48.12334,-97.750998,2639761.309,421741.4736,2639937.447,907776.0345,,1138.535714
12152,15405530CCC,104,104A,FALSE,Elk Valley,FALSE,,Observation Well,252,5/31/1990,11/26/2024,33,38,48.123292,-97.772388,2634541.071,421538.2213,2634715.741,907576.4117,,1142.9075
13222,15405530DDA,105,105A,FALSE,Elk Valley,FALSE,,Observation Well,242,6/19/1991,10/15/2024,42,47,48.125704,-97.752543,2639353.444,422589.8041,2639530.079,908624.8694,,1139.73
13223,15405530DDA2,105,105B,FALSE,Elk Valley,FALSE,,Observation Well,244,6/19/1991,10/15/2024,9,19,48.125677,-97.752549,2639352.331,422579.909,2639528.958,908614.9725,,1139.745714
13224,15405531CCC,106,106A,FALSE,Elk Valley,FALSE,,Observation Well,241,6/19/1991,11/26/2024,22,27,48.108781,-97.772361,2634735.142,416248.4303,2634906.144,902285.1566,,1141.8075
12155,15405532ABB,107,107A,FALSE,Elk Valley,FALSE,,Observation Well,248,5/29/1990,11/26/2024,58,63,48.121483,-97.740101,2642445.301,421159.6987,2642621.706,907192.2084,,1139.664286
13225,15405532BBC,108,108A,FALSE,Elk Valley,FALSE,,Observation Well,243,6/19/1991,11/26/2024,28,33,48.119694,-97.750949,2639820.745,420412.7534,2639995.957,906446.936,,1139.372857
13226,15405532BBC2,108,108B,FALSE,Elk Valley,FALSE,,Observation Well,244,6/19/1991,11/26/2024,6,16,48.119694,-97.750949,2639820.745,420412.7534,2639995.957,906446.936,,1139.622857
12149,15405533CCC,109,109A,FALSE,Elk Valley,FALSE,,Observation Well,253,5/29/1990,11/26/2024,43,48,48.108774,-97.729237,2645263.837,416621.972,2645437.718,902651.3372,,1135.465714
12150,15405533CCC2,109,109B,FALSE,Elk Valley,FALSE,,Observation Well,253,6/28/1990,11/26/2024,3,13,48.108774,-97.729237,2645263.837,416621.972,2645437.718,902651.3372,,1136.877143
