use_year	permit_number	permit_holder_name	pod_index	use_type	reported_acft	reported_acres	reported_rate	kwhrs	kwh_demand	begin_meter	end_meter	meter_units	comments	crop_type1	crop_type2	reported_inches	use_january	use_february	use_march	use_april	use_may	use_june	use_july	use_august	use_september	use_october	use_november	use_december	total_use
1987	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						20000000.0	20000000.0	19943000.0	2300000.0	4800000.0	4700000.0	5500000.0	3045000.0	0.0	0.0	0.0	0.0	80288000.0
1988	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						0.0	0.0	0.0	0.0	3240000.0	8780000.0	6280000.0	5309000.0	4120000.0	0.0	0.0	0.0	27729000.0
1989	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						0.0	0.0	0.0	0.0	2147000.0	3200000.0	12034000.0	5100000.0	1524000.0	0.0	0.0	0.0	24005000.0
1990	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						0.0	0.0	0.0	0.0	0.0	0.0	3968000.0	9230000.0	0.0	0.0	0.0	0.0	13198000.0
1991	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						0.0	0.0	0.0	0.0	0.0	2448000.0	9792000.0	14961000.0	0.0	0.0	0.0	0.0	27201000.0
1992	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						0.0	0.0	0.0	0.0	0.0	2300000.0	0.0	3400000.0	0.0	54000.0	0.0	0.0	5754000.0
1993	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						0.0	0.0	0.0	0.0	0.0	0.0	0.0	3113000.0	0.0	0.0	0.0	0.0	3113000.0
1994	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						0.0	0.0	0.0	0.0	0.0	10397000.0	10397000.0	10397000.0	10397000.0	10397000.0	10400000.0	0.0	62385000.0
1995	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						0.0	0.0	0.0	0.0	0.0	7681000.0	13229000.0	13229000.0	2561000.0	0.0	0.0	0.0	36700000.0
1996	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						0.0	0.0	0.0	0.0	0.0	6832000.0	17788000.0	17788000.0	4078000.0	0.0	0.0	0.0	46486000.0
1997	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						5890000.0	5254000.0	5576000.0	6061000.0	6208000.0	7422000.0	6530000.0	7056000.0	6845000.0	6454000.0	5761000.0	5807000.0	74864000.0
1998	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						9770000.0	8845000.0	8980000.0	10071000.0	11230000.0	12500000.0	12350000.0	13025000.0	11254000.0	9645000.0	6944000.0	8041000.0	122655000.0
1999	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						6832000.0	5960000.0	7101000.0	7260000.0	12742000.0	12960000.0	13010000.0	13130000.0	8021000.0	7220000.0	7310000.0	8199000.0	109745000.0
2000	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						8769000.0	8549000.0	8813000.0	8877000.0	1946000.0	8842000.0	10123000.0	12406000.0	6428000.0	7131000.0	8110000.0	7543000.0	97537000.0
2001	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						7877000.0	6876000.0	8188000.0	1349000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6081000.0	30371000.0
2002	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						10089000.0	6433000.0	4969000.0	7568000.0	9292000.0	13381000.0	13224000.0	11267000.0	11212000.0	10699000.0	9190000.0	9528000.0	116852000.0
2003	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						10620000.0	9094000.0	10101000.0	10437000.0	10679000.0	11126000.0	12531000.0	16248000.0	13464000.0	12604000.0	10525000.0	11044000.0	138473000.0
2004	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						11414000.0	10314000.0	11158000.0	11414000.0	12354000.0	12017000.0	13596000.0	13998000.0	11752000.0	11965000.0	10784000.0	10934000.0	141700000.0
2005	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						4441000.0	2153000.0	11306000.0	11484000.0	11788000.0	9772000.0	7550000.0	9613000.0	9163000.0	3242000.0	0.0	0.0	80512000.0
2006	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						26721000.0	24091000.0	24607000.0	25397000.0	27739000.0	29770000.0	32206000.0	22976000.0	21038000.0	18309000.0	18937000.0	16744000.0	288535000.0
2007	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						18544000.0	18362000.0	22016000.0	21002000.0	22806000.0	23806000.0	34354000.0	29316000.0	24486000.0	22474000.0	20239000.0	20495000.0	277900000.0
2008	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						3267000.0	5985000.0	5695000.0	5530000.0	6139000.0	2302000.0	3949000.0	8096000.0	6237000.0	6830000.0	5532000.0	5829000.0	65391000.0
2009	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						5884000.0	5726000.0	6025000.0	6522000.0	7563000.0	6798000.0	7409000.0	7717000.0	7589000.0	6972000.0	6535000.0	6057000.0	80797000.0
2010	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						6649000.0	8302000.0	6993000.0	6914000.0	8548000.0	8568000.0	11400000.0	12276000.0	10471000.0	10116000.0	9591000.0	5641000.0	105469000.0
2011	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						20017000.0	19392000.0	18931000.0	20536000.0	23200000.0	22555000.0	25057000.0	25238000.0	23101000.0	22181000.0	22915000.0	21672000.0	264795000.0
2012	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						21594000.0	20976000.0	20430000.0	17086000.0	25068000.0	22022000.0	25987000.0	22771000.0	24776000.0	20036000.0	19617000.0	15032000.0	255395000.0
2013	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						18014000.0	17162000.0	17754000.0	18910000.0	20548000.0	17334000.0	22234000.0	24958000.0	20980000.0	18054000.0	15392000.0	15271000.0	226611000.0
2014	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						15019000.0	14323000.0	23613000.0	22269000.0	24036000.0	16115000.0	20076000.0	20401000.0	17234000.0	18248000.0	14728000.0	15541000.0	221603000.0
2015	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						16689000.0	15329000.0	20233000.0	19618000.0	18571000.0	17818000.0	18799000.0	20781000.0	19333000.0	18089000.0	14557000.0	17243000.0	217060000.0
2016	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						15118000.0	13838000.0	15306000.0	15924000.0	18382000.0	21587000.0	22005000.0	19876000.0	18457000.0	18121000.0	14572000.0	13719000.0	206905000.0
2017	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						14090000.0	13607000.0	14735000.0	14443000.0	17661000.0	30494000.0	29772000.0	18131000.0	17380000.0	17718000.0	14317000.0	14904000.0	217252000.0
2018	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						14090000.0	13607000.0	14735000.0	14443000.0	17661000.0	30494000.0	29772000.0	18131000.0	17380000.0	17718000.0	14317000.0	14904000.0	217252000.0
2019	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						14601000.0	13671000.0	15393000.0	14601000.0	17248000.0	17378000.0	17637000.0	17289000.0	17484000.0	17203000.0	14934000.0	15086000.0	192525000.0
2020	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						14517000.0	14625000.0	14861000.0	14529000.0	16931000.0	19296000.0	18547000.0	19364000.0	18273000.0	16038000.0	14886000.0	15027000.0	196894000.0
2021	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						15633000.0	14552000.0	15662000.0	14988000.0	18639000.0	28396000.0	30878000.0	26406000.0	25658000.0	16020000.0	14428000.0	14778000.0	236038000.0
2022	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						14524000.0	13634000.0	15249000.0	14237000.0	15012000.0	18575000.0	20700000.0	20650000.0	18387000.0	23286000.0	20082000.0	20923000.0	215259000.0
2023	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						21843000.0	19457000.0	22118000.0	21351000.0	20030000.0	31376000.0	31641000.0	29177000.0	30654000.0	31372000.0	18578000.0	14378000.0	291975000.0
2024	1898	WAHPETON, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						14939000.0	14014000.0	14806000.0	14824000.0	15576000.0	15753000.0	22919000.0	24061000.0	21751000.0	25762000.0	13354000.0	13863000.0	211622000.0
1981	2115	FROEDTERT MALT CORP	-1	Industrial	0.0	0.0	0.0	0	0	0.0	0.0						0.0	0.0	0.0	12000.0	12000.0	12000.0	12000.0	12000.0	12000.0	0.0	0.0	0.0	72000.0
1982	2115	FROEDTERT MALT CORP	-1	Industrial	0.0	0.0	0.0	0	0	0.0	0.0						0.0	0.0	0.0	12000.0	12000.0	12000.0	12000.0	12000.0	12000.0	12000.0	12000.0	12000.0	108000.0
1983	2115	FROEDTERT MALT CORP	-1	Industrial	0.0	0.0	0.0	0	0	0.0	0.0						0.0	0.0	0.0	12000.0	12000.0	12000.0	12000.0	12000.0	12000.0	12000.0	12000.0	12000.0	108000.0
1984	2115	FROEDTERT MALT CORP	-1	Industrial	0.0	0.0	0.0	0	0	0.0	0.0						0.0	0.0	0.0	12000.0	12000.0	12000.0	12000.0	12000.0	12000.0	12000.0	12000.0	12000.0	108000.0
1987	3898	MINN-DAK FARMERS COOPERATIVE	-1	Industrial	0.0	0.0	0.0	0	0	0.0	0.0						93090000.0	79840000.0	84007000.0	36300000.0	36300000.0	36300000.0	7260000.0	20570000.0	36300000.0	26730000.0	21600000.0	22320000.0	500617000.0
1988	3898	MINN-DAK FARMERS COOPERATIVE	-1	Industrial	0.0	0.0	0.0	0	0	0.0	0.0						22320000.0	16560000.0	22320000.0	21600000.0	12090000.0	8970000.0	26780000.0	26780000.0	25920000.0	11160000.0	11160000.0	11160000.0	216820000.0
1989	3898	MINN-DAK FARMERS COOPERATIVE	-1	Industrial	0.0	0.0	0.0	0	0	0.0	0.0						8280000.0	4610000.0	0.0	0.0	0.0	0.0	1270000.0	1770000.0	12820000.0	8850000.0	0.0	0.0	37600000.0
1990	3898	MINN-DAK FARMERS COOPERATIVE	-1	Industrial	0.0	0.0	0.0	0	0	0.0	0.0						0.0	0.0	0.0	0.0	0.0	14200000.0	0.0	22390000.0	0.0	0.0	0.0	0.0	36590000.0
1991	3898	MINN-DAK FARMERS COOPERATIVE	-1	Industrial	0.0	0.0	0.0	0	0	0.0	0.0						9250000.0	9530000.0	9400000.0	15840000.0	26080000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70100000.0
1992	3898	MINN-DAK FARMERS COOPERATIVE	-1	Industrial	0.0	0.0	0.0	0	0	0.0	0.0						5880000.0	5960000.0	6920000.0	6340000.0	7050000.0	7580000.0	7370000.0	23140000.0	0.0	0.0	0.0	0.0	70240000.0
1993	3898	MINN-DAK FARMERS COOPERATIVE	-1	Industrial	0.0	0.0	0.0	0	0	0.0	0.0						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1994	3898	MINN-DAK FARMERS COOPERATIVE	-1	Industrial	0.0	0.0	0.0	0	0	0.0	0.0						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1995	3898	MINN-DAK FARMERS COOPERATIVE	-1	Industrial	0.0	0.0	0.0	0	0	0.0	0.0						5100000.0	4760000.0	4790000.0	13350000.0	5100000.0	5860000.0	4630000.0	6030000.0	5830000.0	6870000.0	7260000.0	0.0	69580000.0
1996	3898	MINN-DAK FARMERS COOPERATIVE	-1	Industrial	0.0	0.0	0.0	0	0	0.0	0.0						7900000.0	13020000.0	5420000.0	8290000.0	9620000.0	7230000.0	5080000.0	6720000.0	6620000.0	0.0	0.0	0.0	69900000.0
1997	3898	MINN-DAK FARMERS COOPERATIVE	-1	Industrial	0.0	0.0	0.0	0	0	0.0	0.0						4550000.0	4270000.0	5060000.0	6140000.0	6250000.0	7090000.0	7140000.0	6710000.0	8970000.0	6410000.0	4880000.0	2530000.0	70000000.0
1998	3898	MINN-DAK FARMERS COOPERATIVE	-1	Industrial	0.0	0.0	0.0	0	0	0.0	0.0						6910000.0	5210000.0	5300000.0	9210000.0	7310000.0	9970000.0	7690000.0	11100000.0	7400000.0	0.0	0.0	0.0	70100000.0
1999	3898	MINN-DAK FARMERS COOPERATIVE	-1	Industrial	0.0	0.0	0.0	0	0	0.0	0.0						5800000.0	6230000.0	7250000.0	7470000.0	6910000.0	7320000.0	8190000.0	9520000.0	6510000.0	4250000.0	0.0	0.0	69450000.0
2000	3898	MINN-DAK FARMERS COOPERATIVE	-1	Industrial	0.0	0.0	0.0	0	0	0.0	0.0						5977000.0	6765000.0	7912000.0	7181000.0	6521000.0	8014000.0	9623000.0	9976000.0	0.0	0.0	0.0	0.0	61969000.0
