Site_Index	Unit	Begin_Interval	End_Interval	Description
3398	GRAVEL	22	33	fine to very coarse, angular to subrounded, poorly sorted, 70% shale, 20% carbonates, 10% quartz and granitics, taking some water
3398	CLAY	33	39	very silty, sandy, medium dark gray, soft, smooth, sticky, with some interbedded coarse sands, little to poor sample return
3398	GRAVEL	39	53	fine to medium, with some coarse sand, subangular to subrounded, moderate to poor sorting, mostly shale and carbonates
3398	CLAY	53	63	very silty, sandy, medium dark gray, very soft, sticky, fluvial
3398	SAND & GRAVEL	63	85	as above, more % of coarse sand,
3398	CLAY	85	120	very silty, as above, fluvial
3398	GRAVEL	120	181	medium to coarse, nearly all shale with some carbonates, angular to subangular, poor sorting, tripped for rock bit at 170 feet, coarse carbonate gravel from 173 to 181, drilled rather slowly for a gravel
3398	CLAY	181	200	shale, medium dark gray to black, very tight, brittle, non-calcareous, Pierre formation
3399	TOPSOIL	0	0.5	
3399	GRAVEL	0.5	17	Fine to coarse, 30% sand
3399	SAND	17	42	Fine to coarse
3399	CLAY	42	46	sandy, silty
3399	GRAVEL	46	59	Fine to coarse, 30% sand
3399	SAND	59	73	Fine to coarse, 15% gravel
3399	TILL	73	81	
3399	CLAY	81	86	Silty
3399	TILL	86	93	
3399	SAND	93	106	Fine to coarse
3399	TILL	106	121	w/sand layers
3399	CLAY	121	132	Silty
3399	SAND	132	159	Fine to medium
3399	SAND	159	180	Fine to coarse, 15% gravel
3399	GRAVEL	180	185	Fine to coarse, 30% sand
3399	BEDROCK	185	200	
3401	TOPSOIL	0	1	
3401	SAND	1	24	fine to coarse, mostly medium to coarse, with some gravel, light brown, oxidized
3401	SAND	24	44	as above, less gravel
3401	GRAVEL	44	68	fine to coarse, 50% shale
3401	SAND	68	101	coarse with gravel, fine to medium, gravel is mostly shale
3401	CLAY	101	110	light gray, very silty and sandy
3401	CLAY	110	115	black, silty, carbonaceous
3401	CLAY	115	140	dark olive gray, smooth, hard, sticky, Pierre Shale, bedrock
3402	TOPSOIL	0	1	
3402	SAND	1	5	fine to medium, gray
3402	SAND	5	16	brown, fine to coarse, mostly coarse, with gravel, fine to medium gravel, mostly shale, a few pebbles
3402	SAND	16	57	as above light gray, little gravel, some lignite
3402	GRAVEL	57	68	coarse, with pebbles, mostly shale
3402	CLAY	68	82	sandy, silty, light olive gray, till
3402	CLAY	82	94	till as above with gravel layers
3402	CLAY	94	108	till as above with sand layers
3402	CLAY	108	109	dark olive gray, compact, sticky
3402	SAND	109	137	coarse, some fine angular gravel, mostly shale
3402	CLAY	137	141	poor return
3402	GRAVEL	141	156	fine to coarse, some sand, 15% lignite, coarse towards bottom
3402	CLAY	156	161	clay
3402	GRAVEL	161	168	as above
3402	CLAY	168	200	dark olive gray, hard, brittle, Pierre formation
3403	 	0	0	See log for 151-062-20DAD1 (#11005A)
3404	TOPSOIL	0	1	
3404	TILL	1	5	Gray, 40% fine sand
3404	TILL	5	10	
3404	GRAVEL	10	20	Medium to coarse
3404	TILL	20	25	
3404	GRAVEL	25	30	Medium
3404	SAND	30	40	Fine
3404	GRAVEL	40	45	Medium w/small clay layer
3404	GRAVEL	45	55	Medium to coarse
3404	SAND & GRAVEL	55	60	Medium gravel, fine sand
3404	GRAVEL	60	134	Medium to coarse, 30% cobbles
3404	CLAY	134	140	Gray, 20% cobbles
3404	CLAY	140	148	
3404	COBBLES	148	160	10% medium gravel
3405	no log	0	0	
3406	TOPSOIL	0	1	Silty, sandy, clayey, grayish black
3406	SAND	1	34	Slightly gravelly, fine- to very coarse-grained, subangular to rounded, moderately well sorted, oxidized, approximately 50 to 60% quartz, 10 to 20% carbonates, remainder shale, granitics and siliceous rocks- taking water
3406	CLAY	34	43	Very sandy, silty, pebbly, boulders and cobbles, lower 2 to 3 ft. of section, olive gray moderately cohesive, slightly plastic, calcareous (till)
3406	CLAY	43	140	Very silty, medium gray to olive gray with a few light olive gray laminations, very cohesive, non-plastic, very calcareous (fluvial sediment)
3406	CLAY	140	156	Silty, slightly sandy, pebbly, occasional thin gravel lenses and layers, olive gray, moderately cohesive, moderately plastic, calcareous (till)
3406	SAND	156	195	Slightly gravelly (fine to medium gravel), interbedded with thin lenses and layers of silty clay, very fine- to very coarse-grained (mostly medium- to coarse-grained)subangular to rounded, moderately well sorted, approximately 50 to 60% quartz, 10 to 20% carbonates, 5 to 15% shale, remainder lignite, granitics and siliceous rocks-taking small amount of water, not caving in
3406	BOULDER	195	196	Granite, hard
3406	SHALE	196	200	Siliceous, grayish black, moderately indurated, non-calcareous, bentonitic (Pierre Formation)
3407	TOPSOIL	0	1	Silty, clayey, sandy, grayish black
3407	CLAY	1	4	Very sandy, silty, pebbly, moderate yellowish brown, moderately cohesive, moderately plastic, oxidized (till)
3407	SAND	4	14	Very fine- to medium-grained, subangular to rounded, moderately well sorted, mostly quartz, some shale and carbonates, oxidized
3407	CLAY	14	21	Silty, very sandy, pebbly, olive gray to medium gray, moderately cohesive, slightly plastic, calcareous (till)
3407	CLAY	21	79	Very silty, olive gray to medium gray with occasional light olive gray laminations, very cohesive, non-plastic, calcareous (Fluvial Sediment)
3407	SAND	79	124	Occasional thin silty clay lenses, very fine- to very coarse-grained (mostly medium-grained), subangular to rounded, moderately well sorted, approximately 50 to 60% quartz, 15 to 25% shale and carbonates, remainder granitics, lignite and siliceous rocks, stratified
